PropertyId,PropertyDesc,PropertyDeutsch,PropertyEnglisch,PropertyDeutschCH,PropertyFranzoesisch,PropertyNiederlaendisch,PropertyItalienisch,PropertySpanisch,PropertyValueId,PropertyValueDesc,PropertyValueDeutsch,PropertyValueEnglisch,PropertyValueDeutschCH,PropertyValueFranzoesisch,PropertyValueNiederlaendisch,PropertyValueItalienisch,PropertyValueSpanisch
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,732,600x60 cm,600 x 60 cm,600 x 60 cm,600 x 60 cm,600 x 60 cm,600 x 60 cm,600 x 60 cm,600 x 60 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,733,60x600 cm,60 x 600 cm,60 x 600 cm,60 x 600 cm,60 x 600 cm,60 x 600 cm,60 x 600 cm,60 x 600 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,734,700x100 cm,700 x 100 cm,700 x 100 cm,700 x 100 cm,700 x 100 cm,700 x 100 cm,700 x 100 cm,700 x 100 cm
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,735,Alu Verbundplatte 3 mm,Aluverbundplatte 3 mm,aluminium composite 3 mm,Aluverbundplatte 3 mm,composite d'aluminium 3 mm,Aluminium sandwichplaat 3 mm,alluminio composito 3 mm,composite de aluminio 3 mm
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,736,Hartschaumplatte (PVC Forex) 2 mm,Hartschaumplatte 2 mm,hard foam boards 2 mm,Hartschaumplatte 2 mm,plaque en mousse rigide 2 mm,Hard schuim (forex) plaat 2 mm,pannello PVC Forex 2 mm,plancha de espuma rígida 2 mm
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,737,Hartschaumplatte (PVC Forex) 5 mm,Hartschaumplatte 5 mm,hard foam boards 5 mm,Hartschaumplatte 5 mm,plaque en mousse rigide 5 mm,Hard schuim (forex) plaat 5 mm,pannello PVC Forex 5 mm,plancha de espuma rígida 5 mm
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,738,Acryl transparent 3 mm,Acryl transparent 3 mm,transparent acrylic 3 mm,Acryl transparent 3 mm,acrylique transparent 3 mm,Acryl transparant 3 mm,acrilico transparente 3 mm,acrílico transparente 3 mm
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,739,Acryl transparent 5 mm,Acryl transparent 5 mm,transparent acrylic 5 mm,Acryl transparent 5 mm,acrylique transparent 5 mm,Acryl transparant 5 mm,acrilico trasparente 5 mm,acrílico transparente 5 mm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,740,50x50 cm,50 x 50 cm,50 x 50 cm,50 x 50 cm,50 x 50 cm,50 x 50 cm,50 x 50 cm,50 x 50 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,741,100x100 cm,100 x 100 cm,100 x 100 cm,100 x 100 cm,100 x 100 cm,100 x 100 cm,100 x 100 cm,100 x 100 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,742,30x20 cm,30 x 20 cm,30 x 20 cm,30 x 20 cm,30 x 20 cm,30 x 20 cm,30 x 20 cm,30 x 20 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,743,20x30 cm,20 x 30 cm,20 x 30 cm,20 x 30 cm,20 x 30 cm,20 x 30 cm,20 x 30 cm,20 x 30 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,744,40x20 cm,40 x 20 cm,40 x 20 cm,40 x 20 cm,40 x 20 cm,40 x 20 cm,40 x 20 cm,40 x 20 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,745,20x40 cm,20 x 40 cm,20 x 40 cm,20 x 40 cm,20 x 40 cm,20 x 40 cm,20 x 40 cm,20 x 40 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,746,40x30 cm,40 x 30 cm,40 x 30 cm,40 x 30 cm,40 x 30 cm,40 x 30 cm,40 x 30 cm,40 x 30 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,747,30x40 cm,30 x 40 cm,30 x 40 cm,30 x 40 cm,30 x 40 cm,30 x 40 cm,30 x 40 cm,30 x 40 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,748,100x70 cm,100 x 70 cm,100 x 70 cm,100 x 70 cm,100 x 70 cm,100 x 70 cm,100 x 70 cm,100 x 70 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,749,100x75 cm,100 x 75 cm,100 x 75 cm,100 x 75 cm,100 x 75 cm,100 x 75 cm,100 x 75 cm,100 x 75 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,750,105x140 cm,105 x 140 cm,105 x 140 cm,105 x 140 cm,105 x 140 cm,105 x 140 cm,105 x 140 cm,105 x 140 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,751,120x180 cm,120 x 180 cm,120 x 180 cm,120 x 180 cm,120 x 180 cm,120 x 180 cm,120 x 180 cm,120 x 180 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,752,120x30 cm,120 x 30 cm,120 x 30 cm,120 x 30 cm,120 x 30 cm,120 x 30 cm,120 x 30 cm,120 x 30 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,753,120x40 cm,120 x 40 cm,120 x 40 cm,120 x 40 cm,120 x 40 cm,120 x 40 cm,120 x 40 cm,120 x 40 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,754,120x60 cm,120 x 60 cm,120 x 60 cm,120 x 60 cm,120 x 60 cm,120 x 60 cm,120 x 60 cm,120 x 60 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,755,120x80 cm,120 x 80 cm,120 x 80 cm,120 x 80 cm,120 x 80 cm,120 x 80 cm,120 x 80 cm,120 x 80 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,756,140x105 cm,140 x 105 cm,140 x 105 cm,140 x 105 cm,140 x 105 cm,140 x 105 cm,140 x 105 cm,140 x 105 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,757,150x70 cm,150 x 70 cm,150 x 70 cm,150 x 70 cm,150 x 70 cm,150 x 70 cm,150 x 70 cm,150 x 70 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,758,180x120 cm,180 x 120 cm,180 x 120 cm,180 x 120 cm,180 x 120 cm,180 x 120 cm,180 x 120 cm,180 x 120 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,759,20x60 cm,20 x 60 cm,20 x 60 cm,20 x 60 cm,20 x 60 cm,20 x 60 cm,20 x 60 cm,20 x 60 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,760,20x80 cm,20 x 80 cm,20 x 80 cm,20 x 80 cm,20 x 80 cm,20 x 80 cm,20 x 80 cm,20 x 80 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,761,30x120 cm,30 x 120 cm,30 x 120 cm,30 x 120 cm,30 x 120 cm,30 x 120 cm,30 x 120 cm,30 x 120 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,762,30x45 cm,30 x 45 cm,30 x 45 cm,30 x 45 cm,30 x 45 cm,30 x 45 cm,30 x 45 cm,30 x 45 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,763,30x60 cm,30 x 60 cm,30 x 60 cm,30 x 60 cm,30 x 60 cm,30 x 60 cm,30 x 60 cm,30 x 60 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,764,40x120 cm,40 x 120 cm,40 x 120 cm,40 x 120 cm,40 x 120 cm,40 x 120 cm,40 x 120 cm,40 x 120 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,766,45x30 cm,45 x 30 cm,45 x 30 cm,45 x 30 cm,45 x 30 cm,45 x 30 cm,45 x 30 cm,45 x 30 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,769,50x75 cm,50 x 75 cm,50 x 75 cm,50 x 75 cm,50 x 75 cm,50 x 75 cm,50 x 75 cm,50 x 75 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,770,60x120 cm,60 x 120 cm,60 x 120 cm,60 x 120 cm,60 x 120 cm,60 x 120 cm,60 x 120 cm,60 x 120 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,771,60x20 cm,60 x 20 cm,60 x 20 cm,60 x 20 cm,60 x 20 cm,60 x 20 cm,60 x 20 cm,60 x 20 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,772,60x30 cm,60 x 30 cm,60 x 30 cm,60 x 30 cm,60 x 30 cm,60 x 30 cm,60 x 30 cm,60 x 30 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,773,60x40 cm,60 x 40 cm,60 x 40 cm,60 x 40 cm,60 x 40 cm,60 x 40 cm,60 x 40 cm,60 x 40 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,774,60x50 cm,60 x 50 cm,60 x 50 cm,60 x 50 cm,60 x 50 cm,60 x 50 cm,60 x 50 cm,60 x 50 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,776,60x90 cm,60 x 90 cm,60 x 90 cm,60 x 90 cm,60 x 90 cm,60 x 90 cm,60 x 90 cm,60 x 90 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,778,70x150 cm,70 x 150 cm,70 x 150 cm,70 x 150 cm,70 x 150 cm,70 x 150 cm,70 x 150 cm,70 x 150 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,779,70x50 cm,70 x 50 cm,70 x 50 cm,70 x 50 cm,70 x 50 cm,70 x 50 cm,70 x 50 cm,70 x 50 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,780,75x100 cm,75 x 100 cm,75 x 100 cm,75 x 100 cm,75 x 100 cm,75 x 100 cm,75 x 100 cm,75 x 100 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,781,75x50 cm,75 x 50 cm,75 x 50 cm,75 x 50 cm,75 x 50 cm,75 x 50 cm,75 x 50 cm,75 x 50 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,782,80x120 cm,80 x 120 cm,80 x 120 cm,80 x 120 cm,80 x 120 cm,80 x 120 cm,80 x 120 cm,80 x 120 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,783,80x20 cm,80 x 20 cm,80 x 20 cm,80 x 20 cm,80 x 20 cm,80 x 20 cm,80 x 20 cm,80 x 20 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,784,80x60 cm,80 x 60 cm,80 x 60 cm,80 x 60 cm,80 x 60 cm,80 x 60 cm,80 x 60 cm,80 x 60 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,785,90x60 cm,90 x 60 cm,90 x 60 cm,90 x 60 cm,90 x 60 cm,90 x 60 cm,90 x 60 cm,90 x 60 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,786,100x80 cm,100 x 80 cm,100 x 80 cm,100 x 80 cm,100 x 80 cm,100 x 80 cm,100 x 80 cm,100 x 80 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,787,120x120 cm,120 x 120 cm,120 x 120 cm,120 x 120 cm,120 x 120 cm,120 x 120 cm,120 x 120 cm,120 x 120 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,788,180x220 cm,180 x 220 cm,180 x 220 cm,180 x 220 cm,180 x 220 cm,180 x 220 cm,180 x 220 cm,180 x 220 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,789,220x180 cm,220 x 180 cm,220 x 180 cm,220 x 180 cm,220 x 180 cm,220 x 180 cm,220 x 180 cm,220 x 180 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,790,80x100 cm,80 x 100 cm,80 x 100 cm,80 x 100 cm,80 x 100 cm,80 x 100 cm,80 x 100 cm,80 x 100 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,791,80x80 cm,80 x 80 cm,80 x 80 cm,80 x 80 cm,80 x 80 cm,80 x 80 cm,80 x 80 cm,80 x 80 cm
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,792,200 g/m² Dekostoff,200 g/m² Dekostoff,200gsm décor fabric,200 g/m² Dekostoff,200 g/m² tissu de décoration,200 g/m² Decoratiestof,200 g/m² Materiale decorativo,200 g/m² tejido de decoracion
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,793,430 µ Pop Up schwer,430 µm Pop Up schwer,430µm pop up pvc,430 µm Pop Up schwer,430 µm pop up pvc,430 µm pop Up van PVC,430 µm pop-up in PVC,430 µm popup pvc
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,796,88 x 85 x 34 cm,88 x 85 x 34 cm,88 x 85 x 34 cm,88 x 85 x 34 cm,88 x 85 x 34 cm,88 x 85 x 34 cm,88 x 85 x 34 cm,88 x 85 x 34 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,797,90 x 90 x 40 cm,90 x 90 x 40 cm,90 x 90 x 40 cm,90 x 90 x 40 cm,90 x 90 x 40 cm,90 x 90 x 40 cm,90 x 90 x 40 cm,90 x 90 x 40 cm
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,802,Polyester 300D,Polyester 300D,polyester 300D,Polyester 300D,polyester 300D,Polyester 300D,poliestere 300D,poliéster 300D
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,803,8 mm Acryl transparent,Acryl transparent 8 mm,transparent acrylic 8 mm,Acryl transparent 8 mm,acrylique transparent 8 mm,Acryl transparant 8 mm,acrilico transparente 8 mm,acrílico transparente 8 mm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,804,185x40 cm,185 x 40 cm,185 x 40 cm,185 x 40 cm,185 x 40 cm,185 x 40 cm,185 x 40 cm,185 x 40 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,805,175x50 cm,175 x 50 cm,175 x 50 cm,175 x 50 cm,175 x 50 cm,175 x 50 cm,175 x 50 cm,175 x 50 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,806,150x75 cm,150 x 75 cm,150 x 75 cm,150 x 75 cm,150 x 75 cm,150 x 75 cm,150 x 75 cm,150 x 75 cm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,807,280 cm Höhe Leuchtsäule,280 cm hoch,280 cm height,280 cm hoch,280 cm vertical,280 cm hoog,280 cm verticale,280 cm vertical
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,808,240g/m² Displaystoff,240 g/m² Displaystoff,240gsm display material,240 g/m² Displaystoff,240 g/m² tissu de stand,"240 g/m² spandoektextiel ""display""",240 g/m² tessuto per espositori,240 g/m² tejido para displays
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,852,Schneiden,Schneiden,cutting,Schneiden,coupe,Snijden,taglio,corte
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,853,"Schneiden, Hohlsaum","Schneiden, Hohlsaum","cutting, hemstitch","Schneiden, Hohlsaum","coupe, ourlet à jour","Snijden, open zoom","taglio, asola","corte, ribete"
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,854,"Schneiden, Saum rundum, Ösen in den Ecken","Schneiden, Saum rundum, Ösen in den Ecken","cutting, revolving seam, eyelets in corners","Schneiden, Saum rundum, Ösen in den Ecken","coupe, ourlet tout autour, oeillets dans les coins","Snijden, zoom rondom, ogen in de hoeken","taglio, orlo, occhielli negli angoli","corte, ribete alrededor, hoyuelo en las esquinas"
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,855,"Schneiden, Saum rundum, Ösen rundum","Schneiden, Saum rundum, Ösen rundum","cutting, revolving seam, multiple eyelets","Schneiden, Saum rundum, Ösen rundum","coupe, ourlet tout autour, oeillets tout autour","Snijden, zoom rondom, ogen rondom","taglio, orlo, occhielli sul perimetro","corte, ribete alrededor, hoyuelo alrededor"
59,Kassette,Kassette,Banner stand,Kassette,Cassette,Cassette systeem,Avvolgitore,Carcasa,856,Discount,Discount,Economy,Discount,discount,Discount,Discount,Discount
59,Kassette,Kassette,Banner stand,Kassette,Cassette,Cassette systeem,Avvolgitore,Carcasa,857,Classic,Classic,Classic,Classic,classic,Classic,Classic,Classic
59,Kassette,Kassette,Banner stand,Kassette,Cassette,Cassette systeem,Avvolgitore,Carcasa,858,Comfort,Comfort,Comfort,Comfort,comfort,Comfort,Comfort,Comfort
59,Kassette,Kassette,Banner stand,Kassette,Cassette,Cassette systeem,Avvolgitore,Carcasa,859,Design,Design,Design,Design,design,Design,Design,Design
59,Kassette,Kassette,Banner stand,Kassette,Cassette,Cassette systeem,Avvolgitore,Carcasa,860,XXL,XXL,XXL,XXL,XXL,XXL,XXL,XXL
59,Kassette,Kassette,Banner stand,Kassette,Cassette,Cassette systeem,Avvolgitore,Carcasa,861,ohne Kassette,ohne Kassette,without banner stand,ohne Kassette,sans cassette,zonder cassette systeem,senza avvolgitore,sin carcasa
59,Kassette,Kassette,Banner stand,Kassette,Cassette,Cassette systeem,Avvolgitore,Carcasa,862,Outdoor,Outdoor,Outdoor,Outdoor,outdoor,Outdoor,Outdoor,Outdoor
60,System,System,Construction system,System,Système,Systeem,Sistema,Estructura,863,X-Banner,X-Banner,X banners,X-Banner,bannières en X,X-banner,banner a X,banners en X
60,System,System,Construction system,System,Système,Systeem,Sistema,Estructura,864,L-Banner,L-Banner,L banners,L-Banner,bannières en L,L-banner,banner a L,banners en L
60,System,System,Construction system,System,Système,Systeem,Sistema,Estructura,865,ohne System,ohne System,without construction system,ohne System,sans matériaux de montage,zonder systeem,senza avvolgitore,sin estructura
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,888,"Schneiden, Lochbohrungen in den Ecken","Schneiden, Lochbohrungen in den Ecken","cutting, drilled holes in corners","Schneiden, Lochbohrungen in den Ecken","coupe, trous dans les angles","Snijden, boorgaten in de hoeken","taglio, fori negli angoli","corte, perforación en las esquinas"
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,889,"Schneiden, Lochbohrungen aller 50 cm","Schneiden, Lochbohrungen rundum","cutting, multiple drilled holes","Schneiden, Lochbohrungen rundum","coupe, trous continu sur les côtés","Snijden, boorgaten rondom","taglio, fori sul perimetro","corte, perforación alrededor"
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,892,9 Felder 250 x 231 x 79 cm PVC,PVC: 9 Felder (250 x 231 x 79 cm),PVC: 9 areas (250 x 231 x 79 cm),PVC: 9 Felder (250 x 231 x 79 cm),PVC : 9 modules (250 x 231 x 79 cm),PVC: 9 vakken (250 x 231 x 79 cm),PVC: 9 moduli (250 x 231 x 79 cm),PVC: 9 módulos (250 x 231 x 79 cm)
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,893,12 Felder 300 x 231 x 99 cm PVC,PVC: 12 Felder (300 x 231 x 99 cm),PVC: 12 areas (300 x 231 x 99 cm),PVC: 12 Felder (300 x 231 x 99 cm),PVC : 12 modules (300 x 231 x 99 cm),PVC: 12 vakken (300 x 231 x 99 cm),PVC: 12 moduli (300 x 231 x 99 cm),PVC: 12 módulos (300 x 231 x 99 cm)
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,894,9 Felder 231 x 231 x 29 cm Textil,Textil: 9 Felder (231 x 231 x 29 cm),fabric: 9 areas (231 x 231 x 29 cm),Textil: 9 Felder (231 x 231 x 29 cm),tissu : 9 modules (231 x 231 x 29 cm),Textiel: 9 vakken (231 x 231 x 29 cm),tessuto: 9 moduli (231 x 231 x 29 cm),textil: 9 módulos (231 x 231 x 29 cm)
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,895,12 Felder 306 x 231 x 29 cm Textil,Textil: 12 Felder (306 x 231 x 29 cm),fabric: 12 areas (306 x 231 x 29 cm),Textil: 12 Felder (306 x 231 x 29 cm),tissu : 12 modules (306 x 231 x 29 cm),Textiel: 12 vakken (306 x 231 x 29 cm),Tessuto: 12 moduli (306 x 231 x 29 cm),textil: 12 módulos (306 x 231 x 29 cm)
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,896,Leuchtsäule ,Leuchtsäule,Light columns,Leuchtsäule,colonnes lumineuses,Reclamezuil,Colonne Luminose,columnas luminosas
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,900,Beachflag (Tropfenform),Beachflags Tropfenform,beach flag teardrop,Beachflag (Tropfenform),beach flags en forme de goutte,Dropflags,Espositori a bandiera a goccia,banderolas lágrima
61,Größe,Größe,Size,Grösse,Taille,Maat,Dimensioni,Medidas,901,Größe S,S,S,S,S,S,S,S
61,Größe,Größe,Size,Grösse,Taille,Maat,Dimensioni,Medidas,902,Größe M,M,M,M,M,M,M,M
61,Größe,Größe,Size,Grösse,Taille,Maat,Dimensioni,Medidas,903,Größe L,L,L,L,L,L,L,L
61,Größe,Größe,Size,Grösse,Taille,Maat,Dimensioni,Medidas,904,Größe XL,XL,XL,XL,XL,XL,XL,XL
63,Farbe Besatzband,Farbe Besatzband,Colour flag band,Farbe Besatzband,Couleur bande de bordure,Kleur band,Colore nastro,Color de la cinta,905,Schwarz,Schwarz,black,Schwarz,noir,zwart,nero,negro
63,Farbe Besatzband,Farbe Besatzband,Colour flag band,Farbe Besatzband,Couleur bande de bordure,Kleur band,Colore nastro,Color de la cinta,906,Weiß,Weiß,white,Weiss,blanc,wit,bianco,blanco
64,Zubehör,Zubehör,Equipment,Zubehör,Accessoires,Accessoires,Accessori,Accesorios,907,Metallplattenfuß S,Metallplattenfuß S,metal stand S,Metallplattenfuss S,pied de stabilité en metal plat S,metalen standplaat S,piedistallo in metallo S,pie de metal S
64,Zubehör,Zubehör,Equipment,Zubehör,Accessoires,Accessoires,Accessori,Accesorios,908,Metallplattenfuß M,Metallplattenfuß M,metal stand M,Metallplattenfuss M,pied de stabilité en metal plat M,metalen standplaat M,piedistallo in metallo M,pie de metal M
64,Zubehör,Zubehör,Equipment,Zubehör,Accessoires,Accessoires,Accessori,Accesorios,909,Metallplattenfuß L-XL,Metallplattenfuß L-XL,metal stand L-XL,Metallplattenfuss L-XL,pied de stabilité en métal plat L-XL,metalen standplaat L-XL,piedistallo in metallo L-XL,pie de metal L/XL
64,Zubehör,Zubehör,Equipment,Zubehör,Accessoires,Accessoires,Accessori,Accesorios,910,Bodenkreuz,Bodenkreuz,cross stand,Bodenkreuz,pied de stabilité (croisé),Kruisvoet,base a croce,anclaje en cruz
64,Zubehör,Zubehör,Equipment,Zubehör,Accessoires,Accessoires,Accessori,Accesorios,911,Bodendübel,Bodendübel,ground anchor,Bodendübel,vis d'ancrage au sol,Grondplug,picchetto,espiral de anclaje
64,Zubehör,Zubehör,Equipment,Zubehör,Accessoires,Accessoires,Accessori,Accesorios,912,ohne Standfuß,ohne Standfuß,without base,ohne Standfuss,sans pied,zonder standplaat,senza piedistallo,sin pie
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,913,Beachflag (konvexe Form),Beachflags Konvexe Form,beach flag convex,Beachflag (konvexe Form),beach flags forme convexe,Beachflags convexe vorm,Espositori a bandiera in forma convessa,banderolas convexas
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,914,Beachflag (mit Ausleger),Beachflags mit Ausleger,"beach flag sail, cantilever",Beachflag (mit Ausleger),beach flags à potence,Square-flags met uithouder,Espositori a bandiera con braccio orizzontale,banderolas con brazo horizontal
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,915,Seitenwand f. Pavillon / Faltzelt,Seitenwand für Faltzelte,Sidewalls for pop up tents,Seitenwand für Faltzelte,mur plein pour tente,Zijwanden voor vouwtenten,Pareti per gazebo,pared lateral para tiendas plegables
67,Druckoption,Druckoption,Printing option,Druckoption,Option d'impression,Afdrukopties,Opzioni di stampa,Opción de impresión,916,nach außen,nach außen bedruckt,printed outside,nach aussen bedruckt,face externe imprimée,buitenkant bedrukt,stampa sul lato esterno,impreso por fuera
67,Druckoption,Druckoption,Printing option,Druckoption,Option d'impression,Afdrukopties,Opzioni di stampa,Opción de impresión,917,nach innen,nach innen bedruckt,printed inside,nach innen bedruckt,face interne imprimée,binnenkant bedrukt,stampa sul lato interno,impreso por dentro
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,918,ohne Fenster,ohne Fenster,without window,ohne Fenster,sans fenêtre,zonder venster,senza finestra,sin ventana
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,919,mit Fenster,mit Fenster,with window,mit Fenster,avec fenêtre,met venster,con finestra,ventana
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,920,mit Fenster und Tür,mit Fenster und Tür,with window and door,mit Fenster und Tür,avec fenêtre et porte,met venster en door,con finestra e porta,ventana y puerta
